"행정구역","2023년06월_남_총인구수","2023년06월_남_연령구간인구수","2023년06월_남_0~9세","2023년06월_남_10~19세","2023년06월_남_20~29세","2023년06월_남_30~39세","2023년06월_남_40~49세","2023년06월_남_50~59세","2023년06월_남_60~69세","2023년06월_남_70~79세","2023년06월_남_80~89세","2023년06월_남_90~99세","2023년06월_남_100세 이상","2023년06월_여_총인구수","2023년06월_여_연령구간인구수","2023년06월_여_0~9세","2023년06월_여_10~19세","2023년06월_여_20~29세","2023년06월_여_30~39세","2023년06월_여_40~49세","2023년06월_여_50~59세","2023년06월_여_60~69세","2023년06월_여_70~79세","2023년06월_여_80~89세","2023년06월_여_90~99세","2023년06월_여_100세 이상"
"경상남도 의령군 의령읍(4872025000)","4,600","4,600","315","469","462","397","726","888","759","408","163","12","1","4,619","4,619","269","398","351","427","677","757","784","513","386","57","0"
"경상남도 의령군 가례면(4872031000)","823","823","13","22","41","39","81","159","274","130","58","6","0","809","809","10","22","27","32","44","100","205","155","180","33","1"
"경상남도 의령군 칠곡면(4872032000)","556","556","5","14","35","35","49","90","177","96","46","8","1","587","587","6","10","13","21","30","101","157","99","124","25","1"
"경상남도 의령군 대의면(4872033000)","509","509","14","19","36","24","44","96","142","86","44","4","0","525","525","19","17","12","20","23","66","130","91","110","37","0"
"경상남도 의령군 화정면(4872034000)","734","734","16","21","41","33","64","159","215","113","64","8","0","743","743","10","23","26","26","45","114","176","141","160","22","0"
"경상남도 의령군 용덕면(4872035000)","761","761","22","18","38","53","69","128","250","104","69","10","0","730","730","17","22","30","25","43","109","192","113","141","36","2"
"경상남도 의령군 정곡면(4872036000)","684","684","17","19","29","33","62","137","214","105","56","12","0","706","706","12","20","22","18","38","83","171","137","173","32","0"
"경상남도 의령군 지정면(4872037000)","925","925","11","28","45","41","73","158","296","180","84","8","1","887","887","11","22","26","29","45","136","226","172","185","34","1"
"경상남도 의령군 낙서면(4872038000)","339","339","8","13","13","16","28","53","109","61","35","3","0","375","375","8","5","9","11","10","40","97","88","90","16","1"
"경상남도 의령군 부림면(4872039000)","1,319","1,319","33","66","104","74","134","273","331","193","104","6","1","1,387","1,387","23","64","60","58","80","214","306","257","272","51","2"
